t_s,buoy_heave_m,buoy_heave_acc_mps2
54.0,0.011885178253636558,-0.064944260714931
54.01,0.014428648085126615,-0.07581978657844338
54.02,0.016964417492345715,-0.08661776099591952
54.03,0.019491407650992082,-0.09733457275281283
54.04,0.022008547888800307,-0.10796675171402444
54.050000000000004,0.02451477603105646,-0.11851096658285226
54.06,0.027009038732258805,-0.12896402251381084
54.07,0.029490291794164018,-0.13932285859191018
54.08,0.03195750047047212,-0.1495845451905466
54.09,0.0344096397584153,-0.15974628121970985
54.1,0.036845694677526714,-0.1698053912757446
54.11,0.039264660535875004,-0.1797593227034326
54.120000000000005,0.041665543184059024,-0.18960564258068285
54.13,0.044047359257264794,-0.19934203463563055
54.14,0.04640913640569359,-0.20896629610546863
54.15,0.048749913513675434,-0.21847633454585239
54.160000000000004,0.051068740907787506,-0.2278701645992386
54.17,0.053364680554300874,-0.23714590473005426
54.18,0.055636806246281964,-0.24630177393413172
54.19,0.05788420378067814,-0.2553360884293894
54.2,0.06010597112571818,-0.26424725833430374
54.21,0.062301218578959754,-0.27303378434028464
54.22,0.06446906891631671,-0.28169425438367013
54.230000000000004,0.06660865753239853,-0.290227340322635
54.24,0.06871913257249437,-0.2986317946239392
54.25,0.07079965505653253,-0.30690644706408454
54.26,0.07284939899534504,-0.31505020144907264
54.27,0.07486755149956507,-0.3230620323566377
54.28,0.07685331288148256,-0.3309409819045166
54.29,0.07880589675018079,-0.3386861565479981
54.300000000000004,0.08072453010027392,-0.346296723909721
54.31,0.08260845339456178,-0.35377190964440325
54.32,0.08445692064091526,-0.3611109943409655
54.33,0.08626919946370139,-0.3683133104642203
54.34,0.0880445711700536,-0.37537823933811304
54.35,0.08978233081128821,-0.38230520817227664
54.36,0.091481787239764,-0.38909368713346276
54.370000000000005,0.09314226316147722,-0.3957431864632237
54.38,0.09476309518467967,-0.4022532536430623
54.39,0.09634363386480267,-0.4086234706081014
54.4,0.09788324374596534,-0.41485345101016774
54.410000000000004,0.09938130339933984,-0.4209428375310778
54.42,0.10083720545864204,-0.4268912992467629
54.43,0.10225035665301037,-0.4326985290427759
54.44,0.10362017783753093,-0.4383642410816284
54.45,0.10494610402166134,-0.4438881683222871
54.46,0.10622758439580102,-0.44927006009211673
54.47,0.1074640823562498,-0.45450967971145756
54.480000000000004,0.10865507552879214,-0.4596068021709869
54.49,0.10980005579113848,-0.4645612118619297
54.5,0.11089852929445002,-0.4693727003591791
54.51,0.11195001648416822,-0.47404106425732323
54.52,0.1129540521203648,-0.4785661030595501
54.53,0.1139101852978225,-0.4829476171193803
54.54,0.1148179794660523,-0.48718540563518503
54.550000000000004,0.11567701244944659,-0.49127926469739563
54.56,0.1164868764677634,-0.49522898538832716
54.57,0.11724717815713075,-0.4990343519345742
54.58,0.11795753859175563,-0.5026951399118802
54.59,0.11861759330651633,-0.5062111145024453
54.6,0.11922699232061185,-0.5095820288046334
54.61,0.11978540016243687,-0.5128076221950858
54.620000000000005,0.12029249589597209,-0.5158876146425905
54.63,0.12074797315167929,-0.5188216199946644
54.64,0.12115154016285062,-0.5216092575991607
