t_s,buoy_heave_m,buoy_heave_acc_mps2
56.56,0.019070400935790488,-0.08061885496975793
56.57,0.020057659433039207,-0.0838757283516154
56.58,0.02103649551385614,-0.08708905984660788
56.59,0.022006588314980955,-0.09025930012513139
56.6,0.022967621276664348,-0.09338691939999261
56.61,0.023919282095504295,-0.09647240500765397
56.620000000000005,0.02486126267559274,-0.09951625912036187
56.63,0.0257932590782002,-0.1025189965864464
56.64,0.026714971470212873,-0.10548114289579125
56.65,0.027626104071524438,-0.10840323226721447
56.660000000000004,0.028526365101572575,-0.11128580585428767
56.67,0.02941546672519837,-0.11412941006595055
56.68,0.03029312499799545,-0.11693459499813552
56.69,0.031159059811304516,-0.11970191297250005
56.7,0.032012994836998356,-0.12243191717829556
56.71,0.03285465747219217,-0.12512516041333976
56.72,0.03368377878400402,-0.1277821939200302
56.730000000000004,0.03450009345448103,-0.13040356631233102
56.74,0.035303339725797606,-0.13298982258967254
56.75,0.036093259345823525,-0.13554150323373493
56.76,0.03686959751415144,-0.13805914338412859
56.77,0.037632102828665366,-0.14054327208904555
56.78,0.0383805272327245,-0.1429944116270169
56.79,0.03911462596302943,-0.14541307689600774
56.800000000000004,0.03983415749823123,-0.1477997748661561
56.81,0.04053888350833761,-0.1501550040925562
56.82,0.041228568804964144,-0.1524792542846115
56.83,0.041902981292473294,-0.15477300592856547
56.84,0.04256189192003837,-0.15703672995993695
56.85,0.04320507463466478,-0.15927088748270946
56.86,0.043832306335196164,-0.16147592953223566
56.870000000000005,0.044443366827328794,-0.16365229687891883
56.88,0.045038038779653504,-0.1658004198698712
56.89,0.04561610768074056,-0.16792071830586328
56.9,0.046177361797279555,-0.17001360135096694
56.910000000000004,0.046721592133283064,-0.17207946747244315
56.92,0.04724859239035975,-0.17411870440851557
56.93,0.047758158929059956,-0.17613168916178262
56.94,0.04825009073129423,-0.1781187880161371
56.95,0.048724189363822806,-0.18008035657515034
56.96,0.049180258942812166,-0.1820167398199948
56.97,0.0496181060994526,-0.1839282721850806
56.980000000000004,0.05003753994662913,-0.1858152776496476
