t_s,platform_heave_m,platform_heave_acc_mps2,buoy1_clusterA_surge_m,buoy1_clusterA_surge_acc_mps2,buoy1_clusterA_sway_m,buoy1_clusterA_sway_acc_mps2,buoy1_clusterA_heave_m,buoy1_clusterA_heave_acc_mps2,buoy4_clusterB_surge_m,buoy4_clusterB_surge_acc_mps2,buoy4_clusterB_sway_m,buoy4_clusterB_sway_acc_mps2,buoy4_clusterB_heave_m,buoy4_clusterB_heave_acc_mps2,buoy7_clusterC_surge_m,buoy7_clusterC_surge_acc_mps2,buoy7_clusterC_sway_m,buoy7_clusterC_sway_acc_mps2,buoy7_clusterC_heave_m,buoy7_clusterC_heave_acc_mps2
59.410000000000004,0.012664163464455197,-0.06124119155753398,-0.1296713409182306,0.13286893873882522,-8.139462401426918e-10,-4.264268354549598e-10,-0.0023100593423069317,-0.0015160071291841475,-0.12241392648627462,0.10665415876312552,-6.465580355114229e-05,0.00022642605764769386,0.011383089335740384,-0.046929186669872475,-0.11473586352613101,0.0796846212717237,1.109735019698683e-09,-1.6543551694998997e-10,0.025938341467928012,-0.09521452619411742
59.42,0.013419471916560486,-0.06522684694845574,-0.1288817487035651,0.12988352642845252,-8.090850214524436e-10,-4.4653330346583876e-10,-0.0015924765576286386,-0.0038712565713161454,-0.12158601929192589,0.1035330889163992,-6.412331511339974e-05,0.0002248477348071493,0.01204945310484641,-0.04891801020797139,-0.11392794358395712,0.0766509799781093,1.1014582918806405e-09,-1.3499099603426916e-10,0.026545266974008223,-0.09680540246661393
59.43,0.014168162878030648,-0.06918626933659557,-0.12807920253919874,0.1268510387973193,-8.042690722041495e-10,-4.665129811142677e-10,-0.0008753012439849891,-0.0062018587535486525,-0.12074779445576386,0.10037488206961327,-6.356841307021619e-05,0.00022317277293894757,0.012710909085688256,-0.050878349966369085,-0.11311239299849289,0.07358955521205772,1.09316789011119e-09,-1.0447006258176571e-10,0.02714249952763844,-0.09836378426433773
59.44,0.014909840786286871,-0.07311650535226538,-0.12726400617638814,0.12377262994450063,-7.99500371839964e-10,-4.863582368557156e-10,-0.00015876614582298158,-0.008507526402284207,-0.11989956819324957,0.09718072328385823,-6.29912960974698e-05,0.00022140187639358615,0.013367261535419863,-0.052810485127938234,-0.11228951819840083,0.07050147390641871,1.084866873899579e-09,-7.388411541973751e-11,0.02772988363502883,-0.09989042743660469
59.45,0.015644113105377024,-0.07701462601739814,-0.12643646794631408,0.12064946791009935,-7.947808849619089e-10,-5.06061474861616e-10,0.0005568984796748485,-0.010788032950006236,-0.1190416603022028,0.09395181111724844,-6.239217156148119e-05,0.00021953583661080042,0.014018317519826637,-0.05471472848341667,-0.11145962826561118,0.06738787682404282,1.076558312376299e-09,-4.324500858587503e-11,0.02830726696127166,-0.10138609454164937
59.46,0.01637059061843554,-0.0808777298846414,-0.1255969006430839,0.1174827345334593,-7.901125725457565e-10,-5.256155329228719e-10,0.0012714648845906684,-0.013043210487770162,-0.11817439404274749,0.09068935731478946,-6.177125538191752e-05,0.00021757553243153808,0.014663886881777815,-0.05659142415195513,-0.1106230348210612,0.06424991810002782,1.0682452589353074e-09,-1.2564219100357393e-11,0.02887450025406855,-0.10285155279418647
59.47,0.01708888771723997,-0.08470294616314168,-0.12474562140535235,0.11427362530901522,-7.854973617994701e-10,-5.450129064891778e-10,0.001984707846442912,-0.015272947621854046,-0.11729809601593992,0.08739458648365935,-6.112877188948263e-05,0.00021552193025412786,0.015303782206583325,-0.05844094528373537,-0.10978005190910134,0.06108876476170324,1.05993079902539e-09,1.8146221150893712e-11,0.02943143726702382,-0.10428757205193892
59.480000000000004,0.017798622688549936,-0.08848743782681089,-0.12388295159657463,0.11102334923520799,-7.809371784571907e-10,-5.642453405181814e-10,0.0026964046787443167,-0.01747718724381002,-0.11641309604111268,0.08406873575137344,-6.046495367839846e-05,0.00021337608396619179,0.01593781878448531,-0.06026369175076319,-0.10893099588061635,0.057905596227564415,1.0516180066640004e-09,4.887443300780831e-11,0.029977934682704776,-0.10569492284351834
59.49,0.01849941799690577,-0.0922284052141344,-0.12300921668389107,0.10773312921412252,-7.764339249177585e-10,-5.833041896906787e-10,0.0034063352361755335,-0.019655924050247624,-0.11551972703195205,0.08071305494527391,-5.978004145387334e-05,0.00021113912952900826,0.016565814570511747,-0.0620600879315367,-0.10807618527489249,0.05470160441458334,1.04330996301231e-09,7.960678303319341e-11,0.03051385203567037,-0.10707437426619185
59.5,0.019190900563494605,-0.09592309091158678,-0.12212474611556538,0.10440420400299208,-7.719894884909023e-10,-6.021819043834493e-10,0.0041142819146349615,-0.021809201528891417,-0.11461832487125598,0.07732880825809084,-5.907428387547143e-05,0.00020881227756573304,0.017187590141905858,-0.06383058076739505,-0.10721594070016653,0.05147799597883813,1.0350097374975371e-09,1.1033061988379902e-10,0.031039051635690946,-0.10842669145969865
