t_s,platform_heave_m,platform_heave_acc_mps2,buoy1_clusterA_surge_m,buoy1_clusterA_surge_acc_mps2,buoy1_clusterA_sway_m,buoy1_clusterA_sway_acc_mps2,buoy1_clusterA_heave_m,buoy1_clusterA_heave_acc_mps2,buoy4_clusterB_surge_m,buoy4_clusterB_surge_acc_mps2,buoy4_clusterB_sway_m,buoy4_clusterB_sway_acc_mps2,buoy4_clusterB_heave_m,buoy4_clusterB_heave_acc_mps2,buoy7_clusterC_surge_m,buoy7_clusterC_surge_acc_mps2,buoy7_clusterC_sway_m,buoy7_clusterC_sway_acc_mps2,buoy7_clusterC_heave_m,buoy7_clusterC_heave_acc_mps2
54.0,-0.07490801652947034,0.27860222504703475,-0.08316157771100065,0.6175966663372977,3.379996253083502e-10,8.270925648177992e-10,-0.07510667644271769,0.09560499763123663,0.001303577910193208,0.2413907544390895,-0.00040230645945233616,0.0015344424979397346,-0.04400048848660656,-0.03173766887639835,0.09260478383455699,-0.10107613241928602,2.1712572488968303e-09,-1.7461518626274348e-09,-0.0021804555200941036,-0.175008535559571
54.01,-0.07345576483295226,0.2804219383945293,-0.0801097837329605,0.6014406878026611,3.28405224394257e-10,8.61348817980058e-10,-0.07307976513087731,0.07745709408325951,0.004320773878000252,0.22786051416572975,-0.0004030414041988726,0.0015272114064612268,-0.041797720275882494,-0.044285814494368476,0.09488841997912928,-0.1098137619946394,2.184268929376753e-09,-1.7922535904771167e-09,0.0002930257604280209,-0.18311234428149695
54.02,-0.07197517977992933,0.28207973269419356,-0.07699804451140872,0.5851277401344132,3.188974654543171e-10,8.955275660279914e-10,-0.07104532986217266,0.05993167128716515,0.0073606011741672115,0.21433087563240313,-0.00040361975390647335,0.0015193378634691082,-0.03959951670987402,-0.056314209443650884,0.09716097181985095,-0.11850419742299684,2.1970993841645023e-09,-1.8378832296814697e-09,0.002748076263977522,-0.19087223417122198
54.03,-0.07046611254355316,0.2835609629160476,-0.07382799152057923,0.5686780056587243,3.094797872343947e-10,9.296737342751379e-10,-0.0690051127708333,0.0430536194998231,0.010421707327214343,0.2008074527687657,-0.00040404227401677836,0.0015108770897805737,-0.03740707381116087,-0.06782303413387542,0.09942157075444856,-0.127149539609668,2.2097440735173275e-09,-1.883017634002379e-09,0.005183924512652335,-0.19830040615365888
54.04,-0.06892843243094457,0.28485048645357636,-0.07060126968224183,0.5521101583842283,3.0015561979757335e-10,9.638281539849438e-10,-0.06696079107708713,0.026843633157267486,0.013502740543802906,0.18729508346673981,-0.00040430979284905057,0.0015018870684458873,-0.03522153568344241,-0.07881422524779332,0.1016693526825247,-0.13575209509023406,2.2221985066138905e-09,-1.9276320877268207e-09,0.007599832115727886,-0.20540885165669595
54.050000000000004,-0.0673620283871381,0.2859327412678855,-0.0673195355198069,0.5354413584853388,2.9092840355459367e-10,9.98030002102942e-10,-0.06491397506163968,0.011318408599153515,0.016602350183815645,0.173797854768537,-0.0004044231951315337,0.0014924282035090203,-0.03304399471977554,-0.0892913240777736,0.10390345777275187,-0.14431436282812987,2.234458256276962e-09,-1.9717005607638377e-09,0.009995092571821358,-0.2122093216352625
54.06,-0.06576681054044956,0.286791822948389,-0.06398445546360111,0.5186872606551461,2.8180156640930513e-10,1.0323120540135444e-09,-0.06286620643718566,-0.0035091439429777082,0.01971918716065952,0.1603191307205134,-0.00040438341532348114,0.0014825630010375094,-0.030875491969758754,-0.09925932954815347,0.10612303021090193,-0.1528390222343085,2.24651893050573e-09,-2.015195484304305e-09,0.012369030095299691,-0.218713302272963
54.07,-0.06414271178156422,0.2874115601438675,-0.060597704306354534,0.5018620346804112,2.7277855971242266e-10,1.0667014299608551e-09,-0.06081895709573314,-0.017629678368111027,0.02285190426958745,0.14686158229058102,-0.0004041914307624437,0.0014723557758395055,-0.02871701765105442,-0.10872455690042257,0.10832721792989572,-0.16132892237722765,2.25837621185475e-09,-2.058086684495924e-09,0.014720998469310565,-0.22493199665884125
54.08,-0.06248968936880053,0.28777558790107527,-0.0571609638067344,0.4849783965922106,2.6386282955406993e-10,1.1012217731633755e-09,-0.058773628209559246,-0.031037184602734833,0.025999156447037958,0.13342721880079636,-0.0004038482546674653,0.0014618723864205827,-0.026569511791207565,-0.11769450281294104,0.11051517232294004,-0.16978707233609494,2.2700258501269836e-09,-2.1003446380519597e-09,0.01705037992722282,-0.23087631177295828
54.09,-0.06080772655222718,0.2878674185230424,-0.05367592143772054,0.46804764880862926,2.5505784713545057e-10,1.1358887032025308e-09,-0.05673154966303179,-0.04372875780890081,0.029159600964137822,0.12001742037929604,-0.0004033549290269501,0.0014511799999797857,-0.024433864986368337,-0.12617771754360643,0.1126860479407048,-0.17821663263832851,2.281463649436087e-09,-2.141934774426083e-09,0.019356584063737827,-0.236556850150158
54.1,-0.059096834209553445,0.28767050963441193,-0.050144269275734406,0.451079727754662,2.4636708137519973e-10,1.1707116358331782e-09,-0.05469397979229007,-0.05570436791178781,0.032331897557612434,0.10663297099114215,-0.000402712517395714,0.0014403468884186612,-0.022310919264225435,-0.13418368451339258,0.1148390021733858,-0.1866209077142968,2.292685477320457e-09,-2.1828241904207615e-09,0.02163904677646991,-0.2419839056343774
