t_s,buoy_heave_m,buoy_heave_acc_mps2
56.56,0.06195779189573966,-0.24563515378215645
56.57,0.06204865910315018,-0.2464825531898542
56.58,0.062114870928063205,-0.24725580939458797
56.59,0.062156350888023154,-0.2479542954068143
56.6,0.062173030058054565,-0.2485750030212542
56.61,0.062164847490375555,-0.2491095479231988
56.620000000000005,0.06213175104401152,-0.249546390784316
56.63,0.062073698488081204,-0.24987361402164496
56.64,0.06199065864775118,-0.25008054201358804
56.65,0.06188261235528669,-0.2501610689614359
56.660000000000004,0.06174955300162149,-0.25011392567584917
56.67,0.061591486727626585,-0.24993885346610223
56.68,0.06140843247255486,-0.2496355089104399
56.69,0.06120042199989482,-0.24920376938663247
56.7,0.060967499911874605,-0.24864358094805725
56.71,0.0607097236517362,-0.2479550347050949
56.72,0.06042716349419274,-0.24713832858899157
56.730000000000004,0.060119902523870915,-0.24619378606539105
56.74,0.059788036601881964,-0.24512184601310713
56.75,0.059431674320529794,-0.24392306666535704
56.76,0.059050936946267715,-0.242598122168411
56.77,0.05864595835099879,-0.24114780248642284
56.78,0.05821688493185763,-0.23957301129459047
56.79,0.05776387551962355,-0.23787476454770248
56.800000000000004,0.057287101275942116,-0.23605418838947206
56.81,0.05678674557955037,-0.23411251708000602
56.82,0.05626300390172312,-0.23205109061373455
56.83,0.055716083671176204,-0.2298713522035498
56.84,0.05514620412868255,-0.22757484555599386
56.85,0.05455359617167382,-0.2251632119886283
56.86,0.053938502189118304,-0.222638187378279
56.870000000000005,0.05330117588698135,-0.22000159896067445
56.88,0.052641882104589886,-0.21725536198669243
56.89,0.05196089662223662,-0.21440147624861655
56.9,0.051258505960372396,-0.21144202248606148
56.910000000000004,0.05053500717074705,-0.20837915868351187
56.92,0.049790707619870006,-0.20521511627055086
56.93,0.04902592476517113,-0.2019521962364656
56.94,0.04824098592425121,-0.19859276517077232
56.95,0.04743622803761815,-0.19513925124130677
56.96,0.04661199742531172,-0.19159414012147083
56.97,0.04576864953782421,-0.18795997087820898
56.980000000000004,0.044906548701728215,-0.184239331832062
56.99,0.044026067860425615,-0.1804348564006041
57.0,0.04312758831043321,-0.17654921893633657
57.01,0.042211499433620916,-0.17258513056980646
57.02,0.041278198425817904,-0.16854533506854782
57.03,0.04032809002220018,-0.16443260472208093
57.04,0.03936158621987067,-0.16024973626286168
57.050000000000004,0.03837910599803882,-0.15599954683273953
57.06,0.03738107503620251,-0.1516848700040615
57.07,0.03636792543072906,-0.14730855186416175
57.08,0.03534009541022608,-0.14287344717153103
57.09,0.03429802905008547,-0.1383824155915233
57.1,0.033242175986575875,-0.1338383180189345
57.11,0.03217299113085013,-0.12924401299440516
57.120000000000005,0.031090934383224866,-0.12460235322101977
57.13,0.029996470348079327,-0.11991618218696923
57.14,0.028890068049709706,-0.11518833089976038
57.15,0.027772200649464278,-0.11042161473681185
57.160000000000004,0.026643345164472813,-0.10561883041682325
57.17,0.025503982188271646,-0.10078275309583465
57.18,0.024354595613613337,-0.09591613359138701
57.19,0.023195672357736966,-0.09102169573762008
57.2,0.02202770209082986,-0.08610211871721499
57.21,0.02085117696985142,-0.08115999669152522
57.22,0.019666591377164817,-0.07619793265905907
57.230000000000004,0.01847444166180763,-0.07121848438980631
57.24,0.017275225885776756,-0.06622411390190627
57.25,0.016069443576092076,-0.06121727813091373
57.26,0.014857595482070655,-0.0562003346036538
57.27,0.01364018333983087,-0.051175568905390004
57.28,0.012417709644479158,-0.0461451964314456
57.29,0.011190677431441138,-0.04111129464668128
57.300000000000004,0.009959590070485788,-0.03607579537060754
57.31,0.008724951076299812,-0.0310404155054575
57.32,0.0074872639428781975,-0.026006537388739794
57.33,0.00624703199699081,-0.02097559814558736
57.34,0.005004758238558541,-0.01594958549245316
57.35,0.0037609451492034616,-0.010930602297918432
57.36,0.0025160944867696506,-0.005920669359070214
57.370000000000005,0.001270707081962416,-0.0009217964537557921
57.38,2.5282638608629664e-05,0.004064053807534336
57.39,-0.0012196804626227317,0.009034948404918683
57.4,-0.0024636853569089644,0.013988993137493315
57.410000000000004,-0.0037062368843931623,0.018924328386781628
57.42,-0.004946841775686478,0.02383913155772091
57.43,-0.0061850088337456486,0.028731616126438733
57.44,-0.007420249112103178,0.03360003233391462
57.45,-0.008652076089440247,0.03844266700771509
57.46,-0.009880005840490922,0.043257843773052335
57.47,-0.011103557203271662,0.0480439230241776
57.480000000000004,-0.012322251942631854,0.05279930197234241
57.49,-0.013535614910124616,0.05752241461353902
57.5,-0.01474317420019949,0.06221173169556078
57.51,-0.015944461302721546,0.06686576064565425
57.52,-0.017139011251823936,0.07148304547889398
57.53,-0.018326362771103576,0.07606216667787088
57.54,-0.0195060584151721,0.08060174104887104
57.550000000000004,-0.020677644707576916,0.08510042155230065
57.56,-0.021840672275109392,0.08955689710877096
57.57,-0.022994695978520024,0.09396989238020592
57.58,-0.024139275039662626,0.09833816752635804
57.59,-0.0252739731650922,0.10266051793655598
57.6,-0.02639835866614362,0.10693577393667683
57.61,-0.027512004575520683,0.11116280047121624
57.620000000000005,-0.028614488760427565,0.11534049676044747
57.63,-0.02970539403227732,0.11946779593253624
57.64,-0.030784308253014443,0.12354366463051962
57.65,-0.03185082443809108,0.1275671025941648
57.660000000000004,-0.03290454085613899,0.13153714221662996
57.67,-0.03394506112538188,0.13545284807595503
57.68,-0.0349719943068352,0.13931331644146064
57.69,-0.03598495499434316,0.14311767475514944
57.7,-0.036983563401504854,0.14686508108828217
57.71,-0.037967445445544375,0.1505547235733896
57.72,-0.03893623282818187,0.1541858198119782
57.730000000000004,-0.0398895631135649,0.1577576162583262
57.74,-0.04082707980332223,0.16126938757984627
57.75,-0.04174843240880401,0.16472043599447844
57.76,-0.04265327652057506,0.1681100905857532
57.77,-0.04354127387522975,0.17143770659621715
57.78,-0.044412092419599605,0.17470266469994927
57.79,-0.045265406372426355,0.17790437025500394
57.800000000000004,-0.04610089628357555,0.18104225253673095
57.81,-0.04691824909086749,0.18411576395293344
57.82,-0.04771715817460418,0.18712437924190883
57.83,-0.048497323409872624,0.19006759465455783
57.84,-0.049258451216706384,0.19294492712171127
57.85,-0.050000254608188854,0.1957559134079773
57.86,-0.05072245323658293,0.1985001092534103
57.870000000000005,-0.05142477343757296,0.2011770885043941
57.88,-0.05210694827270606,0.20378644223520218
57.89,-0.052768717570120624,0.20632777786167894
57.9,-0.05340982796365069,0.20880071824860108
57.910000000000004,-0.05403003293039551,0.21120490081230106
57.92,-0.054629092826844076,0.21353997662013655
57.93,-0.055206774923644474,0.2158056094884489
57.94,-0.05576285343910848,0.21800147508069612
57.95,-0.05629710957154134,0.22012726000742486
57.96,-0.056809331530486756,0.2221826609297861
57.97,-0.05729931456697659,0.22416738366832042
57.980000000000004,-0.057766861002874356,0.22608114231871954
57.99,-0.05821178025940071,0.22792365837629747
58.0,-0.05863388888492838,0.22969465987088947
58.01,-0.05903301058213297,0.2313938805138967
58.02,-0.05940897623458451,0.23302105885918106
58.03,-0.059761623932863724,0.23457593747951688
58.04,-0.060090799000284995,0.2360582621602598
58.050000000000004,-0.06039635401830641,0.23746778111190708
58.06,-0.060678148851705464,0.23880424420318877
58.07,-0.060936050673596705,0.24006740221628942
58.08,-0.06116993399036567,0.24125700612580145
58.09,-0.06137968066659072,0.24237280640296285
58.1,-0.061565179950022184,0.24341455234670706
58.11,-0.06172632849668527,0.2443819914430184
58.120000000000005,-0.061863030396170436,0.24527486875405954
58.13,-0.061975197197172004,0.24609292633849325
58.14,-0.06206274793333257,0.2468359027043918
58.15,-0.06212560914944746,0.24750353229608504
58.160000000000004,-0.06216371493361282,0.2480953657601199
58.17,-0.062177007049472995,0.2486080072022938
58.18,-0.0621654353618742,0.2490333864605685
58.19,-0.06212895862133043,0.24936117247090134
58.2,-0.06206754545913794,0.24958081813022917
58.21,-0.061981175399685964,0.2496830118176985
58.22,-0.0618698396890898,0.2496625545601207
58.230000000000004,-0.0617335417644897,0.24951851886798396
58.24,-0.06157229740443393,0.24925084365619027
58.25,-0.06138613475452612,0.24885938928080675
58.26,-0.06117509433404173,0.248344203891885
58.27,-0.060939229033136526,0.24770539026779673
58.28,-0.060678604099912443,0.24694317221218473
58.29,-0.0603932971177301,0.24605786093662188
58.300000000000004,-0.060083397972617615,0.24504987122235508
58.31,-0.059749008810918144,0.24391971246323366
58.32,-0.05939024398719504,0.24266799204219056
58.33,-0.059007230002497836,0.2412954123168693
58.34,-0.05860010543307241,0.23980277058031027
58.35,-0.05816902084963067,0.23819095731733794
58.36,-0.057714138727300655,0.23646095510096618
58.370000000000005,-0.05723563334639637,0.23461383696166874
