t_s,buoy_heave_m,buoy_heave_acc_mps2
48.0,-0.03458754847154357,0.3344522367805013
48.01,-0.034563823501604404,0.33425868409035125
48.02,-0.03450668483481206,0.3337404519587135
48.03,-0.03441618788875489,0.33289796722895215
48.04,-0.0342924204917169,0.33173197495844314
48.050000000000004,-0.034135502804623276,0.3302435388423665
48.06,-0.033945587211128836,0.32843404126517783
48.07,-0.033722858175848996,0.3263051829637962
48.08,-0.03346753207077161,0.3238589822882815
48.09,-0.033179856969928624,0.3210977740477347
48.1,-0.03286011241244761,0.31802420793131886
48.11,-0.0325086091341463,0.31464124649662034
48.120000000000005,-0.03212568876787615,0.3109521627200301
48.13,-0.031711723512864755,0.3069605371063841
48.14,-0.031267115773351235,0.30267025435768735
48.15,-0.030792297766852418,0.298085499603399
48.160000000000004,-0.030287731102441512,0.2932107541973421
48.17,-0.029753906329464223,0.288050791088869
48.18,-0.029191342457159562,0.28261066977834015
48.19,-0.02860058644569405,0.27689573086934954
48.2,-0.027982212669158124,0.27091159023227107
48.21,-0.02733682235111221,0.2646641327956993
48.22,-0.02666504297330685,0.2581595059841336
48.230000000000004,-0.025967527658236504,0.2514041128218227
48.24,-0.025244954526219592,0.24440460472396192
48.25,-0.024498026027728548,0.23716787399749012
48.26,-0.02372746825172226,0.229701046074519
48.27,-0.022934030210759817,0.2220114715019085
48.28,-0.02211848310369856,0.21410671771075107
48.29,-0.02128161955680126,0.2059945605894781
48.300000000000004,-0.020424252844096484,0.19768297588401404
48.31,-0.019547216087853453,0.18918013044788629
48.32,-0.01865136144004725,0.1804943733643776
48.33,-0.017737559245703038,0.17163422696188402
48.34,-0.01680669718901825,0.16260837774243606
48.35,-0.015859679423170327,0.15342566724201626
48.36,-0.014897425684724188,0.1440950828398205
48.370000000000005,-0.013920870393558585,0.13462574853202017
48.38,-0.012930961739233951,0.1250269156839331
48.39,-0.01192866075472637,0.11530795377271279
48.4,-0.0109149403784532,0.10547834113096606
48.410000000000004,-0.00989078450551571,0.09554765569991877
48.42,-0.008857187029083075,0.0855255657989901
48.43,-0.007815150872840463,0.07542182091698602
48.44,-0.0067656870156119365,0.06524623636506852
48.45,-0.005709813509708755,0.05500867348782517
48.46,-0.004648554493527239,0.04471906416385625
48.47,-0.003582939198413289,0.0343873837164828
48.480000000000004,-0.002514000956734791,0.02402345368012724
48.49,-0.0014427762566513566,0.013635800853176522
48.5,-0.00037030386064982376,0.0032330560260341655
48.51,0.0007023761403708355,-0.007173399567990432
48.52,0.001774223415024966,-0.01757205082341258
48.53,0.0028441985037886337,-0.027952565810028352
48.54,0.003911263871237141,-0.038304752788131516
48.550000000000004,0.004974384925941973,-0.048618486315690546
48.56,0.006032531033304583,-0.05888367399849633
48.57,0.0070846765237586335,-0.0690902781976764
48.58,0.008129801695872529,-0.07922831774566537
48.59,0.009166893813578438,-0.08928787637921985
48.6,0.01019494809632251,-0.099259127199512
48.61,0.011212968700528065,-0.10913234024601948
48.620000000000005,0.012219969691400772,-0.1188978861829904
48.63,0.013214976004368773,-0.1285462484622652
48.64,0.01419702439523199,-0.13806803149823615
48.65,0.01516516437807321,-0.1474539704996739
48.660000000000004,0.01611845915001685,-0.1566949401231085
48.67,0.017055986501939728,-0.16578196335616982
48.68,0.017976839714264795,-0.17470621992029559
48.69,0.01888012843699217,-0.18345905454466285
48.7,0.01976497955314686,-0.19203198493464668
48.71,0.020630538024846955,-0.2004167095248547
48.72,0.02147596772122071,-0.20860511497560252
48.730000000000004,0.02230045222742483,-0.21658928343919248
48.74,0.023103195634040147,-0.22436149959016177
48.75,0.023883423306143847,-0.231914257431049
48.76,0.024640382631380114,-0.2392402668774009
48.77,0.025373343746372866,-0.24633246013019616
48.78,0.026081600240845503,-0.2531839978418461
48.79,0.02676446983883317,-0.25978827508277386
48.800000000000004,0.027421295056392878,-0.2661389271146544
48.81,0.028051443835236153,-0.27222983497607317
48.82,0.02865431015172756,-0.2780551308854443
48.83,0.029229314600710737,-0.2836092034651176
48.84,0.029775904953641436,-0.288886702789485
48.85,0.030293556690524616,-0.29388254525870305
48.86,0.03078177350517022,-0.2985919182983036
48.870000000000005,0.03124008778329958,-0.3030102848835896
48.88,0.03166806105305206,-0.30713338788629346
48.89,0.03206528440745938,-0.31095725423954607
48.9,0.03243137889847329,-0.31447819891575773
48.910000000000004,0.03276599590215112,-0.31769282871067234
48.92,0.033068817454623124,-0.32059804582551527
48.93,0.03333955655848607,-0.32319105123797165
48.94,0.033577957459288495,-0.32546934785161463
48.95,0.033783795891795636,-0.32743074341245904
48.96,0.033956879295745195,-0.3290733531805087
48.97,0.03409704700083005,-0.33039560234354026
48.980000000000004,0.03420417038066969,-0.3313962281599191
48.99,0.034278152975559556,-0.33207428181698767
49.0,0.03431893058381605,-0.3324291299915272
49.01,0.03432647132156489,-0.3324604560989353
49.02,0.034300775650851656,-0.33216826121812776
49.03,0.034241876375986205,-0.33155286467972545
49.04,0.03414983860806603,-0.3306149043058459
49.050000000000004,0.03402475969765897,-0.32935533629075453
49.06,0.033866769135661355,-0.327775434712751
49.07,0.03367602842238488,-0.3258767906689329
49.08,0.03345273090496296,-0.32366131102591045
49.09,0.033197101583206136,-0.3211312167810822
49.1,0.03290939688407472,-0.3182890410307434
49.11,0.03258990440497626,-0.3151376265430298
49.120000000000005,0.032238942626135074,-0.31168012293550557
49.13,0.03185686059232034,-0.30791998345905314
49.14,0.031444037564258544,-0.30386096139155533
49.15,0.03100088264009529,-0.29950710604675124
49.160000000000004,0.03052783434730948,-0.2948627584054284
49.17,0.03002536020552069,-0.2899325463779146
