t_s,center_heave_m,center_heave_acc_mps2,buoy1_heave_m,buoy1_heave_acc_mps2
67.2,-0.037091997383622226,0.17843846927244922,-0.04076033850282583,0.20545600773493336
67.21000000000001,-0.036882564342005375,0.17761246853055984,-0.04083269934371322,0.20599612831973535
67.22,-0.036655376339721636,0.17670628625250023,-0.0408844580712976,0.2064388534469155
67.23,-0.03641052444403027,0.17571966608822995,-0.04091557158804853,0.20678232015086498
67.24,-0.03614810778134848,0.17465233949790737,-0.04092600674433265,0.20702458641735014
67.25,-0.03586823356583106,0.17350400091589496,-0.04091574053580733,0.20716355411293286
67.26,-0.03557101712884131,0.17227438196497127,-0.040884760307760885,0.20719720049336818
67.27,-0.035256581949058396,0.17096315702027925,-0.04083306396555661,0.20712328441332567
67.28,-0.034925059682710695,0.16957006329123292,-0.04076066018955632,0.20693972084801326
67.29,-0.03457659019143151,0.1680948500794148,-0.040667568646696,0.2066444233203958
67.3,-0.03421132156700632,0.16653730689892107,-0.040553820196388084,0.20623539164689259
67.31,-0.03382941015085538,0.16489732079130065,-0.04041945708402852,0.20571089018793778
67.32000000000001,-0.03343102054430209,0.16317489436271362,-0.040264533109875426,0.20506950287045408
67.33,-0.033016325602890306,0.16137029863887875,-0.0400891137525063,0.20431060474576532
67.34,-0.0325855064055045,0.15948411621612346,-0.039893276218481634,0.20343449157801957
67.35,-0.03213875219928186,0.15751704241524475,-0.0396771094215355,0.20244176311279002
67.36,-0.03167626033186367,0.15546980152093975,-0.039440713927192075,0.2013330637969116
67.37,-0.031198236178371568,0.15334316898535022,-0.039184201885687005,0.20010915103661406
67.38,-0.030704893064020283,0.15113795997708585,-0.03890769695604456,0.1987708595557289
67.39,-0.030196452182328627,0.14885503468227415,-0.038611334221224675,0.1973191175210621
67.4,-0.029673142508990485,0.14649529515488502,-0.038295260094554806,0.1957549365901654
67.41,-0.02913520071142526,0.14405968631944935,-0.03795963221753014,0.1940794148106449
67.42,-0.028582871054058306,0.14154919482904071,-0.037604619349149764,0.19229373291142415
67.43,-0.028016405299365266,0.13896484892933725,-0.03723040124693311,0.19039915372259691
67.44,-0.027436062604740245,0.13630771775781,-0.03683716853978944,0.1883970198620334
67.45,-0.026842109415231682,0.13357891086656393,-0.03642512259291607,0.1862887521270514
67.46000000000001,-0.026234819352209924,0.13077957757893396,-0.03599447536491544,0.18407584737950358
67.47,-0.02561447309801934,0.12791090637843786,-0.035545449257329775,0.18175987653813716
67.48,-0.024981358276688643,0.124974124234972,-0.03507827695680102,0.17934248237956918
67.49,-0.024335769330754424,0.12197049591982242,-0.03459320127007458,0.17682537730581688
67.5,-0.023678007394280075,0.11890132328771236,-0.03409047495207113,0.1742103410082683
67.51,-0.023008380162129985,0.11576794454070619,-0.03357036052726137,0.1714992180722355
67.52,-0.022327201755585044,0.11257173347048838,-0.033033130104582684,0.16869391550928922
67.53,-0.021634792584363648,0.10931409868434817,-0.03247906518614638,0.16579640023320164
67.54,-0.020931479205139165,0.10599648281580679,-0.03190845646998684,0.16280869648112845
67.55,-0.020217594176621147,0.10262036172268013,-0.03132160364711224,0.15973288318883502
67.56,-0.019493475911290737,0.09918724367436464,-0.030718815193118292,0.15657109132522776
67.57000000000001,-0.01875946852386861,0.0956986685302455,-0.030100408154632535,0.15332550119323785
67.58,-0.018015921676594746,0.09215620691107836,-0.029466707930859173,0.1499983397031781
67.59,-0.01726319042141201,0.08856145936477551,-0.028818048050496512,0.14659187762508452
67.6,-0.016501635039129717,0.08491605552820473,-0.028154769944302542,0.1431084268262784
67.61,-0.01573162087565716,0.08122165328636807,-0.027477222713584153,0.13955033750036752
67.62,-0.014953518175389278,0.0774799379301245,-0.026785762894887304,0.1359199953937612
67.63,-0.014167701911831207,0.07369262131373398,-0.026080754221164983,0.13221981903564972
67.64,-0.013374551615546957,0.06986144101336228,-0.02536256737969976,0.12845225697721027
67.65,-0.012574451199513528,0.06598815948746237,-0.024631579767056797,0.1246197850456814
67.66,-0.011767788781974658,0.0620745632402028,-0.02388817524134094,0.12072490361869705
67.67,-0.010954956506866162,0.058122461988712494,-0.02313274387203072,0.11677013492409037
67.68,-0.010136350361910115,0.054133687835350386,-0.022365681687657953,0.11275802037023379
67.69,-0.009312369994449992,0.050110094465587104,-0.021587390421599968,0.10869111791565772
67.7,-0.008483418525118955,0.046053556326532186,-0.02079827725624619,0.10457199947294671
67.71000000000001,-0.007649902359415846,0.04196596777557955,-0.01999875456579919,0.10040324834938923
67.72,-0.006812230997282581,0.03784924229518538,-0.019189239657963732,0.09618745674835578
67.73,-0.005970816840754018,0.033705311732734104,-0.018370154514773952,0.09192722332686978
67.74,-0.005126074999756373,0.029536125796117002,-0.017541925532799492,0.08762515088211416
