t_s,center_heave_m,center_heave_acc_mps2,buoy1_heave_m,buoy1_heave_acc_mps2
54.0,-0.04843422152727849,0.18707415088969132,-0.0697122656923837,0.3138146803959994
54.01,-0.046657492781754545,0.17971662612822042,-0.06799659954972952,0.30551284844715665
54.02,-0.04486284223371816,0.17231161984304924,-0.0662504817550741,0.2970624689701495
54.03,-0.04305101005041207,0.16486240433267202,-0.06447475885269237,0.2884699928999222
54.04,-0.041222740843702955,0.15737219048947365,-0.06267029151840545,0.2797419207039726
54.050000000000004,-0.03937878335078334,0.14984412543690412,-0.06083795390922386,0.27088479257298936
54.06,-0.03751989012117427,0.14228129038728887,-0.058978633009131136,0.2619051787485721
54.07,-0.03564681721024155,0.13468669872499942,-0.05709322797197265,0.2528096700119141
54.08,-0.03376032387941325,0.1270632943188174,-0.05518264946239855,0.24360486835602313
54.09,-0.03186117230326394,0.1194139500661427,-0.05324781899579026,0.2342973778627497
54.1,-0.029950127283609053,0.11174146667102933,-0.05128966827808059,0.22489379580446134
54.11,-0.02802795597072968,0.10404857165687989,-0.04930913854635342,0.2154007039887809
54.120000000000005,-0.02609542759182088,0.09633791861427632,-0.04730717991108586,0.20582466036490868
54.13,-0.02415331318675227,0.08861208630274872,-0.045284750700523124,0.1961722020782229
54.14,-0.02220238535120847,0.0808735784274045,-0.0432428168076717,0.1864498302295319
54.15,-0.02024341798721972,0.07312482418386587,-0.04118235104131467,0.17666398680454723
54.160000000000004,-0.018277186061056716,0.0653681782582316,-0.03910433248242192,0.16682105690143845
54.17,-0.01630446536847031,0.057605921098786664,-0.03700974584640706,0.156927365269197
54.18,-0.014326032307240461,0.04984025962781854,-0.034899580851614084,0.14698916802609438
54.19,-0.012342663656980167,0.042073328035695044,-0.032774831594675646,0.13701264728105522
54.2,-0.01035513636609792,0.03430718885536173,-0.030636495933368393,0.12700390481030388
54.21,-0.008364227345819175,0.026543834208064318,-0.02848557487754773,0.11696895671946758
54.22,-0.006370713271139995,0.01878518726530401,-0.02632307198871469,0.10691372812977672
54.230000000000004,-0.004375370388567027,0.01103310375096956,-0.024149992788672598,0.0968440502636069
54.24,-0.0023789743304871683,0.0032893738157721147,-0.021967344177687954,0.08676565507380626
54.25,-0.0003822999359763185,-0.004444275691319723,-0.019776133862710227,0.07668416772381492
54.26,0.0016138789221677194,-0.012166179147281362,-0.017577369796194123,0.06660510445220595
54.27,0.0036087895043814713,-0.019874729885872282,-0.015372059625858647,0.05653386995659692
54.28,0.0056016603655141516,-0.02756837766904897,-0.013161210155665423,0.04647575379904539
54.29,0.007591721510472829,-0.035245626075255526,-0.010945826818325784,0.03643592779037106
54.300000000000004,0.009578204544598444,-0.042905029727391665,-0.008726913159617577,0.02641944336981364
54.31,0.011560342819052395,-0.05054519141361223,-0.006505470334759172,0.016431229461610113
54.32,0.013537371571491527,-0.0581647590895188,-0.004282496617056547,0.006476090556406993
54.33,0.01550852806234235,-0.06576242278189456,-0.002058986919010118,-0.00344129486871629
54.34,0.017473051706974344,-0.07333691139898721,0.00016406767396306938,-0.0133163756615328
54.35,0.019430184204092937,-0.08088698945941881,0.002385680357064255,-0.023144729016115015
54.36,0.02137916966067847,-0.08841145374841047,0.004604869046805338,-0.032922061229399065
54.370000000000005,0.023319254713802657,-0.09590912991155733,0.00682065680878623,-0.04264420819529449
54.38,0.02524968864966323,-0.10337886899540971,0.009032072272510124,-0.05230713565047148
54.39,0.027169723520174924,-0.11081954403175442,0.011238150033214616,-0.061906939198713935
54.4,0.029078614257453814,-0.1182300468606316,0.013437931040716989,-0.07143984415638147
54.410000000000004,0.030975618786540534,-0.1256092839270288,0.01563046297529982,-0.08090220496346769
54.42,0.032859998136750945,-0.1329561726291285,0.017814800610688016,-0.09029050454902077
54.43,0.03473101655201065,-0.14026963805018788,0.019990006164185146,-0.09960135354857397
54.44,0.0365879416005233,-0.14754860927208702,0.022155149634052265,-0.10883148925733184
54.45,0.038430044284115256,-0.1547920160021326,0.02430930912423332,-0.11797777445053954
54.46,0.04025659914760535,-0.16199878505066923,0.026451571156548424,-0.1270371960105212
54.47,0.04206688438855672,-0.16916783643262312,0.028581030970494994,-0.13600686335358644
54.480000000000004,0.04386018196777352,-0.1762980800244827,0.03069679281081252,-0.14488400677819516
54.49,0.04563577772088375,-0.18338841229569847,0.032797970202979136,-0.15366597567446608
54.5,0.04739296147133509,-0.19043771290173345,0.034883686216821315,-0.16235023658434225
54.51,0.049131027145137396,-0.19744484144685176,0.036953073718430846,-0.1709343711553171
54.52,0.050849272887672416,-0.20440863427990266,0.03900527561059551,-0.17941607398048617
54.53,0.05254700118288463,-0.2113279014048321,0.041039445061960625,-0.18779315034143146
54.54,0.054223518975160215,-0.21820142347661753,0.04305474572514794,-0.19606351385830614
54.550000000000004,0.055878137794190846,-0.22502794890805983,0.04505035194406808,-0.2042251840570871
54.56,0.05751017384881926,-0.23180730215459794,0.0470254489492722,-0.21227632914137518
54.57,0.05911894800421529,-0.2385413907450732,0.048979233032230625,-0.2202154940357612
54.58,0.060703785673013315,-0.24523089880484278,0.05091091167951973,-0.22804182372571222
54.59,0.06226401677354019,-0.25187497091152794,0.052819703671661736,-0.23575440640804132
54.6,0.06379897579754662,-0.2584724517239096,0.054704839178365355,-0.24335215367945787
54.61,0.06530800193636165,-0.2650217577796464,0.05656555986816551,-0.250833829626939
54.620000000000005,0.06679043923566168,-0.2715212546433182,0.05840111902528674,-0.258198313424576
54.63,0.06824563676846034,-0.2779690722817597,0.06021078166574264,-0.26544441935540464
54.64,0.06967294882541161,-0.28436318831315777,0.061993824655101205,-0.2725709379871931
54.65,0.07107173511791104,-0.29070155877656173,0.0637495368214729,-0.2795768942636756
54.660000000000004,0.07244136099050069,-0.2969819687826574,0.06547721905977001,-0.28646123625633646
54.67,0.07378119764599245,-0.30320207702478885,0.0671761844350374,-0.2932229152632102
54.68,0.0750906223829626,-0.3093594507460013,0.06884575828469805,-0.2998609619393713
54.69,0.07636901884299675,-0.3154515662900589,0.07048527831430633,-0.3063744884399609
54.7,0.07761577726629655,-0.3214758305389129,0.07209409468410037,-0.3127627240448218
54.71,0.07883029475614936,-0.3274295299107473,0.073671570088826,-0.3190248767100401
54.72,0.08001197555373755,-0.33330985016654957,0.07521707983575389,-0.3251601723207762
54.730000000000004,0.08116023132271526,-0.33911389564241523,0.07673001192040521,-0.3311678962092382
54.74,0.08227448144231873,-0.3448386856996382,0.07820976709781742,-0.3370473718649365
54.75,0.0833541533085817,-0.3504811617335095,0.07965575894936319,-0.3427979680421164
54.76,0.08439868264331277,-0.35603818921513963,0.08106741394540952,-0.34841909171829555
54.77,0.08540751381044118,-0.3615065625117159,0.08244417150402183,-0.3539101881842363
