config,T_s,heave_RAO,roll_RAO_radpm,pitch_RAO_radpm,Fjoint_buoyhub_N,Mjoint_buoyhub_Nm,Fjoint_hubplat_N,Mjoint_hubplat_Nm
artic,1.8,0.023727276123641138,9.016359212275038e-17,0.03289752557097635,176.06913858155553,3.635785910032206e-14,542.7326980225574,0.15067597660802143
artic,1.9,0.020725785660636264,2.0228398218956347e-17,0.02549049275724999,146.9677437908058,3.92026686884823e-14,448.3754974723526,0.10692204783473741
artic,2.0,0.024461214460301816,1.089958682522968e-16,0.03017306153264545,143.8022606444832,3.94791749697964e-14,440.3103128113006,0.1060343786160041
artic,2.1,0.009168275105995948,1.65743645552246e-16,0.012359084071064477,117.09947740040427,4.1675649961074226e-14,353.38069278357113,0.06344652360816057
artic,2.2,0.023910196782921504,3.3755803182799727e-16,0.01452374515461398,93.58124581858563,4.400964339532788e-14,277.384712720705,0.051285970197175165
artic,2.3,0.028655442819691502,2.2617126942665057e-16,0.017135933876068876,90.99322489913295,4.3711313967690726e-14,270.11655109188683,0.05113100970485733
artic,2.4,0.09873777612288927,2.851614937626871e-16,0.06075731835165653,72.11251791255975,4.640142586998472e-14,207.58540884184248,0.032499191736336926
artic,2.5,0.12130503272374252,3.123887906995551e-16,0.07399580975575984,70.08905954217258,4.648740603746457e-14,200.73447495665158,0.03261531585599094
artic,2.6,0.2674160191291328,7.325594763747413e-16,0.1459677021938524,56.55178841260004,4.885652785883663e-14,151.365416221831,0.02390212836840954
artic,2.7,0.34583262430376877,9.54375191199646e-16,0.1867848733185187,55.82336458547219,4.882231976476929e-14,145.16150355436338,0.025416156429677088
artic,2.8,0.6904760776335438,1.909638650753104e-15,0.32477800782621724,49.280495279545434,5.0649670905763585e-14,108.03937293992179,0.023852944212642436
artic,2.9,1.0155874904167512,2.267008772613038e-15,0.4657465724676793,53.53902524092949,5.0516617382349356e-14,103.4804321191049,0.029589866110011846
artic,3.0,2.3736393700510754,1.7480635709062182e-14,0.7952036850386507,76.70926524940963,5.213810625462451e-14,82.01121321283361,0.09609120739835367
artic,3.1,7.0042762388128,6.503332570960655e-14,2.767358436747071,161.84755921937708,4.9473988797986566e-14,123.13902989454094,0.011941226820932675
artic,3.2,10.911491782327621,1.1384537727226506e-13,3.9455611684515732,233.07968668290604,6.006901679564067e-14,143.72660013346564,0.02030610383655777
artic,3.3,3.595562807277243,8.167706754339468e-15,0.658487265358698,318.25402113929573,5.936557451396868e-14,187.40674336362437,0.10600182015170018
artic,3.4,2.680700625789002,6.605914992228859e-15,1.036848681522217,99.24992149047016,5.982382218727356e-14,73.90008964769541,0.0492264482003597
artic,3.5,1.9876539116369847,1.6915059682724748e-15,0.7025495908522504,46.27464044310836,5.845219881385697e-14,41.10961590695918,0.020551972855375432
artic,3.6,1.606452028966992,1.851513736225666e-15,0.5528554809118872,31.184862394062975,5.799925482186672e-14,30.30492053195376,0.012666359980689242
artic,3.7,1.5870838822903912,2.1910492916765353e-16,0.463680222480738,25.415938650534144,5.945190778896739e-14,22.32608966202259,0.005544259460482038
artic,3.8,1.3939518616489848,3.0449209060017264e-16,0.40455541325346717,21.053300374858082,5.931304617182116e-14,18.69671399358727,0.004052845152390688
artic,3.9,1.4192302736802995,1.7129011713069558e-16,0.35353684276375014,19.77328668605794,6.091516946342896e-14,16.82629275700941,0.004377202860623874
artic,4.0,1.2975666558132049,5.801939802764586e-16,0.32235739257592005,17.775405808905216,6.080214324629954e-14,16.753303220622676,0.0035550711567074135
artic,4.1,1.2019711791981682,7.256506332339567e-16,0.29800451416064855,16.58065458917035,6.071621446452059e-14,18.265165171451837,0.0029061868699367
artic,4.2,1.2481032029586199,3.7828430820635793e-17,0.26671728622513774,16.322952852346628,6.204483923434551e-14,18.584911665558096,0.0013651868965168371
artic,4.3,1.1777240596902459,7.956763361022252e-16,0.25141005860486987,15.892127449076485,6.200062788419874e-14,21.344341439260642,0.0010076082222811333
artic,4.4,1.1188815186298564,1.5387548024481272e-16,0.23864222939665575,15.96750894382887,6.195370521889757e-14,24.94496376116557,0.0006564125619352489
artic,4.5,1.068989746397579,6.833773741607675e-16,0.22783755112442777,16.528449591297647,6.191838842846573e-14,29.310315783166068,0.00028553082171672953
artic,4.6,1.1196908867357358,5.359782253119018e-17,0.20606183217147467,15.806755422196959,6.314550311030894e-14,27.600879288040662,0.0005630048452020499
artic,4.7,1.0791534260785687,3.4435622139893943e-16,0.19851627876089534,16.599931617067412,6.308722761682551e-14,31.99529707966264,0.0002024022747811374
artic,4.8,1.0437014781235188,4.364375547998991e-16,0.191924033512927,17.798867851947573,6.302799193666244e-14,37.076841127818035,0.00022157769575488934
artic,4.9,1.0898126329229942,2.285137058844285e-16,0.17315719607703678,16.483103330779823,6.417371617620948e-14,33.661675435429075,0.000734728195258171
artic,5.0,1.0599319233820381,1.3495326969261787e-16,0.16837099744813,17.81324901551185,6.412803864014817e-14,38.7578140739855,0.0011874779966394176
artic,5.1,1.0332495189527007,1.5526718935278602e-16,0.1640997204746503,19.556507948359172,6.408730502666896e-14,44.67850212138012,0.0017751772635154629
artic,5.2,1.0092906289958885,5.194340895255148e-16,0.16026664780558667,21.762565047559157,6.40920536918851e-14,51.59290313832143,0.0025572959552889463
artic,5.3,1.0512615397495146,3.1601946470643434e-16,0.14430785835277754,19.677789378646757,6.502010323473178e-14,46.17385144334634,0.002249868177973757
artic,5.4,1.0303850196546895,6.316002820015368e-16,0.14142672474011525,22.122588975895503,6.497926619709913e-14,53.55504895070203,0.0032145755331665343
artic,5.5,1.011382225240303,1.4502345322858586e-17,0.13880541536106855,25.218584185308814,6.496196796103133e-14,62.482162602352645,0.004583839253206273
artic,5.6,1.0481968882104256,1.2367730215290252e-16,0.12439393203668703,22.88981338937455,6.587745337735573e-14,56.455481596967296,0.004776534179436892
artic,5.7,1.0314008969586923,4.3857394145326577e-16,0.12239404434989362,26.648191926931787,6.580831909512083e-14,66.98610784232646,0.006863985011227311
artic,5.8,1.0159503775696488,1.4207430208586839e-16,0.12055541399759147,31.654470886150577,6.588022651729779e-14,80.62524340919853,0.010187790539733472
artic,5.9,1.0016930430464508,5.776323401384179e-16,0.11886008684135416,38.52926235526631,6.588893367068813e-14,98.95976563523773,0.0158262210338505
artic,6.0,0.9884964327522694,1.3718094806735115e-15,0.1172926854753677,48.427850849001324,6.579251697825609e-14,124.8985985832961,0.026270983670698574
rigid,1.8,0.023815591913919913,1.740920966251578e-15,0.09985687491064187,493.34496906522423,528.9851808969181,1432.624514117614,1475.3105021836352
rigid,1.9,0.020980902808726352,1.0416078173422771e-15,0.12061427693016799,434.7374473496883,475.5326866134885,1251.76084991804,1312.0080905786424
rigid,2.0,0.024769604184228404,1.7547147537670822e-15,0.14163669455783479,434.5785161041087,475.77718236577317,1251.7674611717762,1312.4606203862766
rigid,2.1,0.009489163847304024,2.3225728703276557e-16,0.16700781484918437,372.03712934096535,414.2465014473205,1064.0520060497333,1132.3338991284984
rigid,2.2,0.023724670082275977,9.23957701792875e-16,0.19356348409998164,312.2855394000124,352.9038881140169,886.3132550878415,956.2368292962914
rigid,2.3,0.02843090594135362,7.394176354030511e-16,0.22977422397698788,311.61048995138657,352.5278694277689,885.6778998881338,955.708153119735
rigid,2.4,0.09878700706877838,8.281439437899601e-16,0.26576109982552704,256.0928828856356,293.8367232148414,724.0300438271234,791.2400186328052
rigid,2.5,0.1213739601138307,1.2807219979452154e-15,0.3214969557415548,255.3565177905623,293.4802287800827,723.273688925905,790.7692679253972
rigid,2.6,0.26787685459165006,6.0376131461033785e-16,0.3771257588585071,206.47909370066634,240.11927898454235,582.3816051772726,644.1482703708169
rigid,2.7,0.3464659371591814,4.630172477251257e-16,0.4735623225308408,205.74587208623026,239.6872744268928,581.3657452215875,643.6138497272547
rigid,2.8,0.6916454272812956,2.756600489683267e-16,0.5799561992668482,165.03730722956777,192.83520829333668,461.51696469364896,516.4598273221702
rigid,2.9,1.0171778066376551,7.766698180518609e-16,0.7908178602696432,165.6916328308902,192.0710892305984,460.1865562113999,515.5502100556921
rigid,3.0,2.3595688033324325,1.558310733528761e-14,1.1008878889529963,143.52989717974873,151.42106445431318,362.51259283988895,407.586934890959
rigid,3.1,7.081982275863104,1.5758889176014036e-14,1.9716345253724332,209.61022408684406,147.0111858239231,370.6649503655629,401.74361047856
rigid,3.2,10.847740992062196,8.199947207036885e-14,6.516253341426862,432.8743666620766,131.84700536112484,520.5719723861131,348.0827692353695
rigid,3.3,3.592869214142989,1.737151103886917e-14,4.893868836608641,301.2082355863659,143.76560164484525,466.2960657352178,359.5005545771136
rigid,3.4,2.680488160125533,6.098477363985768e-15,1.7293693174104405,137.15170340822124,102.72841345382848,265.8789680395644,264.72050367685193
rigid,3.5,1.988076658685525,3.002553677852987e-15,1.1068399904807604,110.45873341970139,100.18658299144515,245.60009864698867,260.58432616665533
rigid,3.6,1.6070365123888832,4.7510685656005586e-15,0.8319621240346806,100.10224951259885,99.09115456928315,238.29427125317906,258.83848498906184
rigid,3.7,1.587548399766288,1.1711428981396398e-15,0.6178941206128796,76.94699926946846,77.05542106725859,182.67024505838614,201.09403897970427
rigid,3.8,1.3944396691405063,2.177302001734755e-15,0.5274855118784679,73.67750056230167,76.67883624372847,180.66149260555443,200.48854784044102
rigid,3.9,1.4195987627804876,9.829649852997178e-16,0.42134453650779263,57.63192015314922,59.43205624798199,138.71901366819742,155.18047959869386
rigid,4.0,1.2979418632936606,1.4906281161424424e-15,0.3795064365874456,56.0279612208497,59.245262728845354,137.88004336506242,154.87637471023345
rigid,4.1,1.202349265736429,5.106025483677274e-16,0.34749515634125117,54.88501991055782,59.103180940156065,137.2746657397332,154.64734834157227
rigid,4.2,1.2483880981343625,2.1406289518760308e-15,0.29053598618242144,43.18996044229469,45.61727775762233,105.26719408471604,119.15725226577418
rigid,4.3,1.1780126915073585,2.085340481274968e-16,0.27212259665985256,42.43748370152533,45.5276888192041,104.94225630212364,119.0121023095501
rigid,4.4,1.1191739012341613,9.460100470192166e-16,0.25693626416766063,41.853388948668986,45.455012859706116,104.68641358529624,118.89499682389555
rigid,4.5,1.0692864284202928,1.1401945332739641e-15,0.24420627873777,41.39117831260137,45.39458523117828,104.48075768827101,118.79692757738118
rigid,4.6,1.1199179544084878,3.2164253402415635e-16,0.20938040746507078,32.64731327202941,34.91030216425443,80.09195434695222,91.23727697659746
rigid,4.7,1.079386026907034,9.211770800111825e-16,0.2010389388686071,32.280428561603344,34.86635056991605,79.96522257692264,91.16683771819855
rigid,4.8,1.04394052004839,1.827973785787294e-15,0.19379583307391757,31.977526236622833,34.82833408707261,79.85912329918484,91.10551127762416
rigid,4.9,1.089997417140087,1.2349041926332593e-16,0.16740843536638314,25.403039043183536,26.70316228044361,61.27533286518361,69.76622422217663
rigid,5.0,1.060123822531952,2.2174327045686224e-16,0.1624082351821018,25.14049395912025,26.67401427323221,61.20684920324375,69.7202566198374
rigid,5.1,1.033449730015711,1.2456166681941005e-15,0.15796490401855282,24.917899565072638,26.6481978187387,61.14829127891279,69.67933364350473
rigid,5.2,1.0095006361304584,5.125740322308838e-16,0.15399253566517013,24.727701364513685,26.62507434185339,61.097790114614234,69.64268851934443
rigid,5.3,1.051427683228738,8.225108016227275e-16,0.1338083211399707,19.805515823813728,20.370320916232668,47.06467337356976,53.245163891175125
rigid,5.4,1.0305618289538623,5.188166576183346e-16,0.13093964934448635,19.628330047618135,20.351847121653723,47.03078110686264,53.216457298535
rigid,5.5,1.011571925408557,9.980898072463716e-16,0.1283369820145122,19.47431932567697,20.33506274332362,47.00137483793245,53.190382285636645
rigid,5.6,1.04835099322291,6.616582663333772e-16,0.11165898548236416,15.817976811021593,15.5369142195955,36.446524386581416,40.626875523142935
rigid,5.7,1.0315699841924124,1.194611304116493e-15,0.10973765320269763,15.669238493928136,15.523164762791078,36.42612580059972,40.60609430232484
rigid,5.8,1.0161386358662354,8.389059368533019e-16,0.10797498158566954,15.537998367702828,15.510537747182253,36.408411638147896,40.58701352410066
rigid,5.9,1.001906626715149,7.601111473721739e-16,0.10635280396813124,15.42180119760508,15.498906233563286,36.39297702971047,40.56944534819331
rigid,6.0,0.9887449211057535,5.044234312202345e-16,0.10485559823070299,15.318472073742921,15.488161540006821,36.37942185210728,40.553313498815804
