period_s,rao_platform_heave,rao_buoy1_heave,overshoot,wavelength_m,lambda_over_footprint,settled,converged_early,duration_used_s
3.8,0.8068577590888377,0.8366581604205003,False,22.545316280602762,7.515105426867588,True,True,68.4
4.0,0.8510354166031192,0.8772745004220686,False,24.980959867703895,8.326986622567965,True,True,72.0
4.5,0.9219750456864233,0.9385682611009871,False,31.61652733256274,10.53884244418758,True,True,81.0
5.0,0.9585335296179204,0.9684357549549348,False,39.03274979328733,13.010916597762444,True,True,90.0
6.0,0.991469645757887,0.9965752395069812,False,56.20715970233376,18.73571990077792,True,True,108.0
