height_m,period_s,omega,amp_m,settle_ratio,settled,duration_s,n_steps,rao_platform_heave,rao_buoy1_heave,rao_buoy2_heave,rao_buoy3_heave,rao_buoy4_heave,rao_buoy5_heave,rao_buoy6_heave,rao_buoy7_heave,rao_buoy8_heave,rao_buoy9_heave,rao_buoy10_heave,rao_buoy11_heave,rao_buoy12_heave
0.05,3.257,1.9291327317100355,0.025,1.3055239907718148e-05,True,419.54200000000003,41954,1.4829450527006631,1.5181354666944136,1.4780188777658556,1.478018877096955,1.526516303970469,1.474903885431016,1.482190014849305,1.7188731774149064,1.6694934250135862,1.6694934246601023,1.5265163011241984,1.4821900134342259,1.4749038825364607
0.3,3.257,1.9291327317100355,0.15,9.560082276653679e-05,True,419.54200000000003,41954,0.610604423776451,0.6268953272018789,0.6251233954903843,0.6251233951735821,0.6170183014226305,0.6181907380273407,0.6145445231179683,0.6833098149921316,0.6810426458025304,0.6810426456958322,0.6170183003955333,0.6145445230141572,0.6181907372594049
1.0,3.257,1.9291327317100355,0.5,0.00013208900429287059,True,419.54200000000003,41954,0.3057194444529654,0.3004972454246447,0.3024660895044046,0.3024660888016454,0.2874295685044592,0.31380731242537907,0.3107520065977402,0.35012980202939353,0.36438861543126727,0.36438861539152717,0.2874295676016271,0.3107520066372305,0.3138073118570155
0.05,3.141,2.0003773661826125,0.025,1.9233684944231128e-07,True,418.846,41885,1.3962742168218867,1.4758754304401422,1.4170887396247434,1.4170887395409462,1.4666377134203106,1.3848202556077696,1.3847450972899427,1.5956071900758901,1.5075100566900028,1.5075100560216337,1.466637711039141,1.3847450953357787,1.3848202525873166
0.3,3.141,2.0003773661826125,0.15,8.121262075025797e-06,True,418.846,41885,0.5639008837554466,0.5870804740888954,0.5845304425164567,0.5845304422852231,0.5770432444756509,0.5738177292333532,0.5694498917875173,0.6370653846243022,0.6271158686951195,0.6271158684469588,0.577043243665222,0.5694498917631602,0.5738177287233693
1.0,3.141,2.0003773661826125,0.5,1.2687629524722514e-05,True,418.846,41885,0.2766916218745253,0.27056271127754355,0.27665257329801357,0.276652572568688,0.26140161915797705,0.2904499262121323,0.2873027606128571,0.3294346312908443,0.34022736679374344,0.34022736683961785,0.26140161854616634,0.2873027608229991,0.29044992611110615
0.05,2.0,3.141592653589793,0.025,0.0007499594995926805,True,216.0,21600,0.0018584207178407898,0.001695504884398875,0.008562198112682131,0.008562198114548282,0.0023794956109634787,0.0036017312430920542,0.0009617536910704826,0.010212967707011607,0.004960009183745387,0.004960009165177898,0.0023794956283451165,0.0009617536673876487,0.003601731251120279
0.3,2.0,3.141592653589793,0.15,0.0035513517467377492,True,216.0,21600,0.0018548112997404831,0.0008633394798653971,0.008166198354941397,0.008166198347788181,0.0023518472900470296,0.0035565658379547653,0.0008893989614088324,0.010363635208851089,0.005490802898943653,0.005490802881418195,0.00235184729757883,0.0008893989374217429,0.003556565844258935
1.0,2.0,3.141592653589793,0.5,0.0035892924872914806,True,216.0,21600,0.0019703637236281944,0.005223119459391378,0.007581309495045754,0.007581309421827338,0.0011074997388672196,0.004763479275444587,0.0011688628950799328,0.011380641587627005,0.00781649342461093,0.007816493363482235,0.00110749967469686,0.0011688629166651356,0.004763479310600582
