period_s,omega,rao_platform_heave,rao_buoy1_heave,settled,converged_early,duration_used_s,steepness,steepness_flag
1.2,5.235987755982989,0.00038806040696444995,0.006480761544770128,True,True,48.0,0.133434958103542,True
1.4,4.487989505128276,0.00026217057547104245,0.0070404899184228365,True,True,44.800000000000004,0.09803384676994924,True
1.6,3.9269908169872414,0.00020765418054285648,0.005812434957456336,True,True,51.2,0.07505716393324237,True
1.8,3.490658503988659,0.0008460373002899981,0.0036507122218969045,True,True,57.6,0.05930442582379644,True
2.0,3.141592653589793,0.0018547565028258109,0.0008644404295732763,True,True,64.0,0.04803658491727512,True
2.2,2.855993321445266,0.03439280708722408,0.037104772143913306,True,True,70.4,0.039699656956425716,False
2.4,2.6179938779914944,0.12087638827584932,0.14090676416535686,True,True,76.8,0.0333587395258855,False
2.6,2.41660973353061,0.25000474954370255,0.2880412603028423,True,True,62.4,0.028424014743949774,False
2.8,2.243994752564138,0.38540408774877943,0.4294433169490069,True,True,67.2,0.02450846169248731,False
2.85,2.2046264235717845,0.4169216339726439,0.45965724608392955,True,True,68.4,0.023656059054367556,False
2.9,2.1666156231653746,0.44624017029373736,0.4874082535175103,True,True,69.60000000000001,0.022847365002271164,False
2.95,2.1298933244676563,0.4734689875390671,0.512696487927758,True,True,70.8,0.022079441501763917,False
3.0,2.0943951023931953,0.49894072668394945,0.5354894119021063,True,True,72.0,0.02134959329656672,False
3.05,2.0600607564523234,0.5235798984425124,0.5559368307094449,True,True,73.2,0.020655344226724055,False
3.1,2.026833970057931,0.5463806634623753,0.5738365390086176,True,True,74.4,0.019994416198657695,False
3.15,1.9946620022792338,0.5675918323362488,0.5899673352735001,True,True,75.60000000000001,0.01936471047307639,False
3.2,1.9634954084936207,0.5880673762844271,0.6059723534545143,True,True,76.8,0.018764290983310592,False
3.25,1.933287786824488,0.607848003320064,0.6240409553647499,True,True,78.0,0.018191369436127855,False
3.3,1.9039955476301778,0.6279926967716672,0.6458356582459217,True,True,79.2,0.017644291980633657,False
3.35,1.8755777036356973,0.6497906312724055,0.6709097801787199,True,True,60.300000000000004,0.017121527259443128,False
3.4,1.8479956785822313,0.6718780894063947,0.6974372394492732,True,True,61.2,0.016621655680718037,False
3.45,1.821213132515822,0.693623990973595,0.7231484480385629,True,True,62.1,0.016143359770560844,False
3.5,1.7951958020513104,0.7141530674187166,0.7461151136950038,True,True,63.0,0.015685415483191877,False
3.55,1.7699113541350948,0.732864283300275,0.7658353927094201,True,True,63.9,0.015246684361761596,False
3.6,1.7453292519943295,0.7497621430126221,0.7829091849241897,True,True,64.8,0.01482610645594911,False
