Cd_n,period_s,rao_platform_heave,overshoot,settled,duration_used_s
2.5,3.4,0.93681798331741,False,True,61.2
2.5,3.5,0.9782907839694792,False,True,63.0
2.5,3.6,1.007709787856975,True,True,64.8
2.5,3.8,1.0431875631932637,True,True,68.4
2.5,4.0,1.058096887178581,True,True,72.0
1.0,3.4,1.3948635768779403,True,True,61.2
1.0,3.5,1.3982468931272307,True,True,63.0
1.0,3.6,1.3769497430526179,True,True,64.8
1.0,3.8,1.308921041571355,True,True,68.4
1.0,4.0,1.2407862407319699,True,True,72.0
