t_s,center_heave_m,center_heave_acc_mps2,buoy1_heave_m,buoy1_heave_acc_mps2
36.0,0.0006090000356398922,-0.007906774170174624,0.000584136668461325,-0.005585858688611001
36.01,0.0006073903946230151,-0.007873372192580445,0.0005936319595975532,-0.00568078433066614
36.02,0.0006049947858847838,-0.007827087616830725,0.0006025581699382426,-0.0057705908142041
36.03,0.0006018181491298718,-0.007768080503091684,0.0006109063650947662,-0.005855195592213391
36.04,0.0005978666903471359,-0.007696542190269426,0.0006186681321375411,-0.005934519639919896
36.050000000000004,0.0005931478617038924,-0.0076126943430995,0.0006258355875077113,-0.006008487449505015
36.06,0.0005876703384345432,-0.007516788122103912,0.0006324013845762624,-0.0060770269775036485
36.07,0.0005814439928213439,-0.007409102873632055,0.0006383587208547077,-0.006140069601833554
36.08,0.0005744798653798444,-0.007289945260044921,0.0006437013448642843,-0.0061975499926494124
36.09,0.0005667901333576217,-0.007159648020389107,0.000648423562658425,-0.006249406507953099
36.1,0.0005583880766587253,-0.007018569012778888,0.0006525202439890118,-0.006295580946487134
36.11,0.0005492880413077855,-0.0068670896304693745,0.0006559868281207104,-0.006336018563113289
36.12,0.0005395054006117069,-0.006705613345065001,0.000658819329287628,-0.006370668353562729
36.13,0.0005290565141498682,-0.006534564423934005,0.0006610143417850952,-0.006399482851753349
36.14,0.0005179586847447016,-0.006354386267620306,0.0006625690446938026,-0.006422418342546404
36.15,0.0005062301135705274,-0.006165539835309257,0.0006634812062297086,-0.006439434860212631
36.160000000000004,0.000493889853559987,-0.005968501974276442,0.00066374918771464,-0.006450496227291189
36.17,0.000480957761261786,-0.005763764270051312,0.0006633719471637286,-0.0064555701094341595
36.18,0.0004674544472937089,-0.005551831300088147,0.0006623490424811516,-0.006454628179549466
36.19,0.0004534012255570477,-0.005333218718874523,0.0006606806342500368,-0.006447646283437897
36.2,0.00043882006139158054,-0.0051084517832734235,0.0006583674881048112,-0.006434604440432066
36.21,0.0004237335188256055,-0.004878063943128888,0.0006554109766809427,-0.006415486900713164
36.22,0.0004081647070812351,-0.00464259465386004,0.0006518130811316,-0.006390282408638838
36.230000000000004,0.0003921372265228132,-0.004402588037085813,0.0006475763921911839,-0.006358984369996491
36.24,0.0003756751141792933,-0.004158591906136086,0.000642704110768593,-0.006321590993245015
36.25,0.0003588027889969367,-0.003911155282293977,0.0006372000480568908,-0.006278105378009342
36.26,0.0003415449970280046,-0.0036608261521180983,0.0006310686251610697,-0.006228535242584544
